data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
0;2;0;1;-1120;2000;0;0;0;4641502
1;2;0;-7;-1060;2000;0;0;0;4641552
2;2;0;-9;-1059;2000;0;0;0;4641572
3;2;1;1;-973;3000;41;2463;0;4641602
4;2;1;-3;-864;3000;41;2463;0;4641652
5;2;1;-6;-945;3000;41;2463;0;4641702
6;2;1;9;-1108;3000;41;2463;0;4641742
7;2;1;0;-965;3000;41;2463;0;4641802
8;2;1;-5;-1179;3000;41;2463;0;4641842
9;2;1;2;-991;3000;41;2463;0;4641892
10;2;1;-1;-1042;3000;41;2463;0;4641942
11;2;1;-1;-921;3000;41;2463;0;4641982
12;2;1;-5;-984;3000;41;2463;0;4642032
13;2;1;1;-1116;3000;41;2463;0;4642082
14;2;1;-1;-1069;3000;41;2463;0;4642122
15;2;1;-8;-1016;3000;41;2463;0;4642182
16;2;1;2;-925;3000;41;2463;0;4642222
17;2;1;11;-1094;3000;41;2463;0;4642272
18;2;1;-1;-1272;3000;41;2463;0;4642322
19;2;1;-10;-1145;3000;41;2463;0;4642372
20;2;1;-9;-1117;3000;41;2463;0;4642422
21;2;1;-4;-1052;3000;41;2463;0;4642462
22;2;1;-3;-1084;3000;41;2463;0;4642512
23;2;1;-3;-1044;3000;41;2463;0;4642562
24;2;1;1;-1110;3000;41;2463;0;4642602
25;2;1;1;-977;3000;41;2463;0;4642652
26;2;1;-2;-1044;3000;41;2463;0;4642702
27;2;1;3;-969;3000;41;2463;0;4642742
28;2;1;-1;-1033;3000;41;2463;0;4642802
29;2;1;0;-1034;3000;41;2463;0;4642842
30;2;1;-8;-1223;3000;41;2463;0;4642892
31;2;1;3;-1100;3000;41;2463;0;4642942
32;2;1;4;-1032;3000;41;2463;0;4642982
33;2;1;3;-1106;3000;41;2463;0;4643032
34;2;1;3;-994;3000;41;2463;0;4643082
35;2;1;-11;-1033;3000;41;2463;0;4643132
