data_id;hb_state;cm4_state;pp_thrust;av_alti;tvc_thrust;tvc_alti;tvc_vel;padding;time
0;2;1;0;0;3000;41;2463;0;34702
1;2;1;0;0;3000;41;2463;0;34742
2;2;1;0;0;3000;41;2463;0;34752
3;2;1;0;0;3000;41;2463;0;34752
4;2;1;0;0;3000;41;2463;0;34772
5;2;1;0;0;3000;41;2463;0;34772
6;2;1;0;0;3000;41;2463;0;34792
7;2;1;0;0;3000;41;2463;0;34812
8;2;1;0;0;3000;41;2463;0;34812
9;2;1;0;0;3000;41;2463;0;34822
10;2;1;0;0;3000;41;2463;0;34832
11;2;1;0;0;3000;41;2463;0;34832
12;2;1;0;0;3000;41;2463;0;34852
13;2;1;0;0;3000;41;2463;0;34852
14;2;1;0;0;3000;41;2463;0;34872
15;2;1;0;0;3000;41;2463;0;34872
16;2;1;0;0;3000;41;2463;0;34882
17;2;1;0;0;3000;41;2463;0;34902
18;2;1;0;0;3000;41;2463;0;34912
19;2;1;0;0;3000;41;2463;0;34922
20;2;1;0;0;3000;41;2463;0;34922
21;2;1;0;0;3000;41;2463;0;34942
22;2;1;0;0;3000;41;2463;0;34942
23;2;1;0;0;3000;41;2463;0;34962
24;2;1;0;0;3000;41;2463;0;34962
25;2;1;0;0;3000;41;2463;0;34982
26;2;1;0;0;3000;41;2463;0;34982
27;2;1;0;0;3000;41;2463;0;35002
28;2;1;0;0;3000;41;2463;0;35012
29;2;1;0;0;3000;41;2463;0;35012
30;2;1;0;0;3000;41;2463;0;35022
31;2;1;0;0;3000;41;2463;0;35022
32;2;1;0;0;3000;41;2463;0;35042
33;2;1;0;0;3000;41;2463;0;35042
34;2;1;0;0;3000;41;2463;0;35062
35;2;1;0;0;3000;41;2463;0;35062
36;2;1;0;0;3000;41;2463;0;35082
37;2;1;0;0;3000;41;2463;0;35082
38;2;1;0;0;3000;41;2463;0;35102
39;2;1;0;0;3000;41;2463;0;35122
40;2;1;0;0;3000;41;2463;0;35122
41;2;1;0;0;3000;41;2463;0;35142
42;2;1;0;0;3000;41;2463;0;35142
43;2;1;0;0;3000;41;2463;0;35162
